id,Employee Full Name,DOB,email,gender,Company,Country,Income.1,Income.2
201,Salim Pound,02-12-2018,spound0@spotify.com,Male,Google,India,$46476.6380809961,529
202,Madelene Lutas,9/20/2018,mlutas1@si.edu,Female,Amazon,USA,$54174.6879482406,720
203,Dolli Swanbourne,11/18/2018,dswanbourne2@istockphoto.com,Female,Intel,UAS,,234
204,Graeme Croisier,9/29/2018,,Male,Accenture,Canada,$46784.6308786279,657
205,Jillana Physic,4/19/2018,jphysic4@yellowbook.com,Female,Accenture,,$57486.4955595568,1947
206,Anetta Yokelman,4/26/2018,ayokelman5@berkeley.edu,Female,Intel,India,$,952
207,Modesta Batterson,3/28/2018,,Female,Intel,India,,32
208,Melina Boon,12/18/2017,mboon7@weibo.com,Male,Amazon,India,,1901
209,Nomi Warn,1/16/2018,nwarn8@sogou.com,Female,Amazon,UAS,$28602.4353770562,
,,,,,,,,
211,Charleen Auden,4/15/2018,caudena@nba.com,Female,Accenture,USA,$47119.1747795038,920
212,Dame Povele,6/26/2018,dpoveleb@bloglovin.com,Male,Amazon,,,1286
213,Jesse Engelbrecht,4/16/2018,jengelbrechtc@google.ru,Female,Amazon,Canada,$55804.9256874294,
214,Camey Barensen,8/21/2018,cbarensend@globo.com,Male,Google,Canada,$44191.4731284524,46
215,Alexandro Sember,04-08-2018,asembere@ibm.com,Male,Google,Russia,$,568
216,Myrtia Towne,2/14/2018,mtownef@ifeng.com,Female,Google,India,$44481.7651905881,1553
217,Shay Cakebread,9/27/2018,scakebreadg@webs.com,Male,Google,India,$55719.9621570482,1013
218,Nerta McCutheon,01-07-2018,nmccutheonh@t.co,Female,Amazon,India,$33767.5099948119,1920
219,Patin Mitchely,5/21/2018,pmitchelyi@tinypic.com,Male,Amazon,Russia,$7101.35196996979,1952
220,Malinda Heistermann,10/30/2018,mheistermannj@list-manage.com,Female,Intel,Russia,$43363.0787072359,1668
